,id,date,saving_ratio,debt_saving_ratio,default_flag,max_dpd_6_months,max_dpd_12_months,max_dpd_24_months,problematic_cheque_count,customer_segment,duration_in_month,credit_history,purpose,credit_amount,savings,sme_history_begin,installment_as_income_perc,other_debtors,present_res_since,sector,average_credit_duration,customer_profile,business_type,credits_this_bank,revenue_range,people_under_maintenance,foreign_stakeholders,sector_risk,EBITDA,ROE,ROA,Revenue_Growth_Rate,Int_coverage_ratio,Net_Profit_Margin
72,73,3.02.2023,0.35,0.33,0,0,0,0.0,1,micro_sme,8,critical account/ other credits existing (not at this bank),furniture/equipment,1164,... < 100 DM,.. >= 7 years,3,none,4,Telecommunications,51,small_businesses,partnership,2,,20,yes,7,183,48,17,18,-92,-8.0
73,74,3.03.2021,0.34,0.32,0,0,0,0.0,1,medium_sme,42,critical account/ other credits existing (not at this bank),business,5954,... < 100 DM,4 <= ... < 7 years,2,none,1,Real Estate,41,small_businesses,corporation,2,,10,yes,7,428,96,65,94,-85,76.0
74,75,14.08.2023,0.37,0.35,1,30,30,30.0,0,micro_sme,36,existing credits paid back duly till now,lease_investment,1977,unknown/ no savings account,.. >= 7 years,4,none,4,Telecommunications,40,individual_consumers,corporation,1,,10,yes,3,585,22,88,82,43,91.0
75,76,4.03.2021,0.5,0.48,0,0,0,0.0,3,micro_sme,12,critical account/ other credits existing (not at this bank),car (used),1526,... < 100 DM,.. >= 7 years,4,none,4,Telecommunications,66,individual_consumers,partnership,2,,10,yes,7,74,52,48,43,93,22.0
76,77,6.04.2021,0.12,0.1,1,30,30,30.0,2,micro_sme,42,existing credits paid back duly till now,domestic appliances,3965,... < 100 DM,... < 1 year ,4,none,3,Construction,34,individual_consumers,corporation,1,,10,yes,9,123,99,60,78,51,82.0
77,78,28.03.2020,0.49,0.47,0,0,0,0.0,3,medium_sme,11,delay in paying off in the past,domestic appliances,4771,... < 100 DM,4 <= ... < 7 years,2,none,4,Oil and gas,51,individual_consumers,corporation,1,,10,yes,4,296,96,9,37,52,62.0
78,79,18.12.2022,0.44,0.42,0,0,0,0.0,3,large_sme,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,1 <= ... < 4 years,2,none,2,Oil and gas,39,individual_consumers,corporation,1,,20,yes,2,455,82,27,31,93,66.0
79,80,1.01.2020,0.46,0.44,0,0,0,0.0,2,medium_sme,30,existing credits paid back duly till now,rent_payment,3832,... < 100 DM,... < 1 year ,2,none,1,Oil and gas,22,individual_consumers,corporation,1,,10,yes,5,682,19,66,0,60,82.0
80,81,3.09.2021,0.05,0.03,1,30,30,30.0,0,large_sme,24,existing credits paid back duly till now,domestic appliances,5943,unknown/ no savings account,... < 1 year ,1,none,1,Construction,44,individual_consumers,corporation,2,,10,yes,4,782,33,149,86,-68,75.0
81,82,10.02.2021,0.34,0.32,0,0,0,0.0,1,large_sme,15,existing credits paid back duly till now,domestic appliances,1213,500 <= ... < 1000 DM ,.. >= 7 years,4,none,3,Oil and gas,47,large_enterprises,corporation,1,,10,yes,0,342,28,33,83,66,43.0
82,83,5.03.2022,0.5,0.48,0,0,0,0.0,1,large_sme,18,existing credits paid back duly till now,business,1568,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,4,Oil and gas,24,individual_consumers,sole_proprietorship,1,,10,yes,0,149,81,37,25,-87,29.0
83,84,17.10.2021,0.45,0.43,0,0,0,0.0,0,micro_sme,24,existing credits paid back duly till now,furniture/equipment,1755,... < 100 DM,.. >= 7 years,4,guarantor,4,Real Estate,58,individual_consumers,corporation,1,,10,yes,6,13,1,7,99,6,17.0
84,85,30.09.2020,0.09,0.07,0,0,0,0.0,0,micro_sme,10,existing credits paid back duly till now,domestic appliances,2315,... < 100 DM,.. >= 7 years,3,none,4,Real Estate,52,individual_consumers,corporation,1,,10,yes,2,454,65,70,20,48,-4.0
85,86,20.09.2022,0.31,0.29,0,0,0,0.0,1,large_sme,12,critical account/ other credits existing (not at this bank),business,1412,... < 100 DM,1 <= ... < 4 years,4,guarantor,2,Real Estate,29,individual_consumers,corporation,2,,10,yes,2,279,90,84,69,-88,48.0
86,87,10.03.2022,0.15,0.13,0,0,0,0.0,0,medium_sme,18,critical account/ other credits existing (not at this bank),rent_payment,1295,... < 100 DM,... < 1 year ,4,none,1,Oil and gas,27,individual_consumers,corporation,2,,10,yes,1,360,9,12,5,-37,85.0
87,88,8.07.2023,0.29,0.27,1,30,30,30.0,3,medium_sme,36,existing credits paid back duly till now,lease_investment,12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,4,Telecommunications,47,individual_consumers,partnership,1,,20,yes,8,945,93,135,90,53,83.0
88,89,1.04.2021,0.37,0.35,0,0,0,0.0,0,micro_sme,18,existing credits paid back duly till now,car (new),2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,3,Construction,30,individual_consumers,corporation,1,,20,yes,2,124,-5,71,94,82,21.0
89,90,5.01.2022,0.61,0.59,1,30,30,30.0,3,micro_sme,12,no credits taken/ all credits paid back duly,education,1108,... < 100 DM,4 <= ... < 7 years,4,none,3,Real Estate,28,individual_consumers,corporation,2,,10,yes,7,777,63,136,49,7,70.0
90,91,30.04.2023,0.13,0.11,0,0,0,0.0,1,large_sme,12,critical account/ other credits existing (not at this bank),domestic appliances,618,... < 100 DM,.. >= 7 years,4,none,4,Real Estate,56,individual_consumers,corporation,1,,10,yes,3,544,59,94,99,84,88.0
91,92,2.05.2021,0.16,0.14,0,0,0,0.0,2,micro_sme,12,critical account/ other credits existing (not at this bank),car (used),1409,... < 100 DM,.. >= 7 years,4,none,3,Real Estate,54,individual_consumers,corporation,1,,10,yes,7,728,8,55,13,13,66.0
92,93,20.06.2023,0.97,0.95,1,30,30,30.0,1,large_sme,12,critical account/ other credits existing (not at this bank),domestic appliances,797,unknown/ no savings account,.. >= 7 years,4,none,3,Oil and gas,33,small_businesses,corporation,1,1m-5m,20,yes,3,733,139,132,79,35,86.0
93,94,11.10.2022,0.15,0.13,0,0,0,0.0,3,small_sme,24,critical account/ other credits existing (not at this bank),rent_payment,3617,unknown/ no savings account,.. >= 7 years,4,co-applicant,4,Telecommunications,20,individual_consumers,sole_proprietorship,2,5m-10m,10,yes,0,754,5,61,69,52,26.0
94,95,27.12.2023,0.21,0.19,0,0,0,0.0,2,medium_sme,12,existing credits paid back duly till now,car (new),1318,.. >= 1000 DM ,.. >= 7 years,4,none,4,Real Estate,54,individual_consumers,corporation,1,5m-10m,10,yes,5,698,22,11,42,-27,19.0
95,96,12.12.2020,0.9,0.88,1,30,30,30.0,2,medium_sme,54,no credits taken/ all credits paid back duly,business,15945,... < 100 DM,... < 1 year ,3,none,4,Telecommunications,58,individual_consumers,sole_proprietorship,1,5m-10m,10,yes,4,455,38,89,78,-46,76.0
96,97,25.12.2022,0.5,0.48,0,0,0,0.0,1,large_sme,12,critical account/ other credits existing (not at this bank),lease_investment,2012,unknown/ no savings account,4 <= ... < 7 years,4,none,2,Construction,61,individual_consumers,corporation,1,5m-10m,10,yes,3,95,86,66,35,48,34.0
97,98,16.12.2020,0.51,0.49,0,0,0,0.0,1,medium_sme,18,existing credits paid back duly till now,business,2622,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,4,Construction,34,individual_consumers,corporation,1,5m-10m,10,yes,5,212,95,3,32,84,52.0
98,99,2.06.2021,0.17,0.15,0,0,0,0.0,0,medium_sme,36,critical account/ other credits existing (not at this bank),domestic appliances,2337,... < 100 DM,.. >= 7 years,4,none,4,Real Estate,36,individual_consumers,corporation,1,5m-10m,10,yes,2,627,85,61,43,42,5.0
99,100,10.04.2020,0.42,0.4,0,0,0,0.0,1,medium_sme,20,delay in paying off in the past,car (used),7057,unknown/ no savings account,4 <= ... < 7 years,3,none,4,Oil and gas,36,small_businesses,sole_proprietorship,2,10m+,20,yes,0,193,69,78,36,-79,53.0
100,101,8.03.2022,0.09,0.07,0,0,0,0.0,3,large_sme,24,existing credits paid back duly till now,car (new),1469,100 <= ... < 500 DM,.. >= 7 years,4,none,4,Real Estate,41,individual_consumers,sole_proprietorship,1,1m-5m,10,yes,3,142,95,59,96,15,23.0
